date,EWP
2015-01-01,32.63
2015-01-02,34.97
2015-01-03,34.78
2015-01-04,35.92
2015-01-05,34.82
2015-01-06,33.55
2015-01-07,34.26
2015-01-08,32.03
2015-01-09,29.66
2015-01-10,31.45
2015-01-11,30.45
2015-01-12,28.27
2016-01-01,26.36
2016-01-02,25.04
2016-01-03,27.18
2016-01-04,28.84
2016-01-05,27.94
2016-01-06,24.98
2016-01-07,26.26
2016-01-08,26.5
2016-01-09,26.82
2016-01-10,27.45
2016-01-11,25.17
2016-01-12,26.51
2017-01-01,27.48
2017-01-02,27.3
2017-01-03,30.41
2017-01-04,31.92
2017-01-05,33.37
2017-01-06,32.84
2017-01-07,34.13
2017-01-08,33.71
2017-01-09,33.74
2017-01-10,33.84
2017-01-11,33.64
2017-01-12,32.77
2018-01-01,35.61
2018-01-02,32.85
2018-01-03,32.51
2018-01-04,33.26
2018-01-05,30.51
2018-01-06,30.35
2018-01-07,31.57
2018-01-08,29.72
2018-01-09,29.61
2018-01-10,27.69
2018-01-11,28.5
2018-01-12,26.82
2019-01-01,28.66
2019-01-02,29.08
2019-01-03,28.61
2019-01-04,29.98
2019-01-05,28.14
2019-01-06,28.91
2019-01-07,27.44
2019-01-08,26.72
2019-01-09,27.84
2019-01-10,28.6
2019-01-11,28.37
2019-01-12,28.92
2020-01-01,28.01
2020-01-02,26.29
2020-01-03,20.32
2020-01-04,20.77
2020-01-05,21.72
2020-01-06,22.46
2020-01-07,22.64
2020-01-08,23.15
2020-01-09,21.76
2020-01-10,21.01
2020-01-11,26.77
2020-01-12,27.04
2021-01-01,26.02
2021-01-02,27.03
2021-01-03,27.39
2021-01-04,28.92
2021-01-05,30.74
2021-01-06,28.42
2021-01-07,27.78
2021-01-08,28.11
2021-01-09,26.97
2021-01-10,28.27
2021-01-11,25.38
2021-01-12,26.27
2022-01-01,26.38
2022-01-02,25.58
2022-01-03,25.46
2022-01-04,24.57
2022-01-05,26.25
2022-01-06,23.32
2022-01-07,22.94
2022-01-08,21.77
2022-01-09,19.82
2022-01-10,21.92
2022-01-11,24.51
2022-01-12,24.18
2023-01-01,26.91
2023-01-02,27.41
2023-01-03,27.87
2023-01-04,28.57
2023-01-05,27.02
2023-01-06,28.9
2023-01-07,29.34
2023-01-08,28.48
2023-01-09,27.5
2023-01-10,26.76
2023-01-11,30.52
2023-01-12,30.62
2024-01-01,29.54
2024-01-02,29.26
2024-01-03,32.17
2024-01-04,31.28
2024-01-05,33.66
2024-01-06,31.23
2024-01-07,32.44
2024-01-08,33.89
2024-01-09,35.29
2024-01-10,33.92
2024-01-11,32.73
2024-01-12,31.05
2025-01-01,32.99
2025-01-02,36.08
2025-01-03,38.06
2025-01-04,40.6
2025-01-05,43.29
2025-01-06,44.03
2025-01-07,44.72
2025-01-08,47.71
2025-01-09,49.5
2025-01-10,50.17
2025-01-11,51.66
2025-01-12,53.91
2026-01-01,56.29
2026-01-02,57.24
2026-01-03,54.31
2026-01-04,58.12