date,Current Account Balance
2006-01-01,-801.755
2006-04-01,-828.77
2006-07-01,-875.813
2006-10-01,-770.888
2007-01-01,-805.547
2007-04-01,-778.679
2007-07-01,-708.957
2007-10-01,-670.257
2008-01-01,-735.552
2008-04-01,-731.276
2008-07-01,-719.025
2008-10-01,-631.079
2009-01-01,-403.189
2009-04-01,-354.508
2009-07-01,-366.635
2009-10-01,-408.097
2010-01-01,-421.555
2010-04-01,-444.135
2010-07-01,-472.695
2010-10-01,-420.758
2011-01-01,-476.625
2011-04-01,-477.942
2011-07-01,-436.398
2011-10-01,-450.378
2012-01-01,-467.257
2012-04-01,-445.744
2012-07-01,-397.94
2012-10-01,-385.07
2013-01-01,-381.192
2013-04-01,-376.726
2013-07-01,-352.464
2013-10-01,-294.365
2014-01-01,-371.64
2014-04-01,-345.269
2014-07-01,-356.02
2014-10-01,-427.466
2015-01-01,-418.937
2015-04-01,-405.373
2015-07-01,-454.184
2015-10-01,-413.806
2016-01-01,-428.143
2016-04-01,-397.207
2016-07-01,-392.808
2016-10-01,-387.256
2017-01-01,-359.156
2017-04-01,-428.217
2017-07-01,-349.685
2017-10-01,-374.924
2018-01-01,-391.861
2018-04-01,-376.66
2018-07-01,-484.545
2018-10-01,-511.567
2019-01-01,-463.237
2019-04-01,-477.302
2019-07-01,-446.485
2019-10-01,-402.02
2020-01-01,-379.273
2020-04-01,-509.309
2020-07-01,-648.043
2020-10-01,-721.855
2021-01-01,-773.733
2021-04-01,-854.084
2021-07-01,-934.369
2021-10-01,-914.795
2022-01-01,-1101.415
2022-04-01,-1031.357
2022-07-01,-938.398
2022-10-01,-933.614
2023-01-01,-917.492
2023-04-01,-926.664
2023-07-01,-916.758
2023-10-01,-990.439
2024-01-01,-1065.578
2024-04-01,-1152.789
2024-07-01,-1318.433
2024-10-01,-1182.609
2025-01-01,-1502.616
2025-04-01,-1167.159
2025-07-01,-979.092
2025-10-01,-890.031