date,Continued Jobless Claims,Initial Jobless Claims
2011-04-23,3796000,422000
2011-04-30,3834000,468000
2011-05-07,3787000,435000
2011-05-14,3781000,414000
2011-05-21,3799000,423000
2011-05-28,3728000,418000
2011-06-04,3750000,423000
2011-06-11,3746000,413000
2011-06-18,3752000,416000
2011-06-25,3719000,421000
2011-07-02,3733000,418000
2011-07-09,3724000,408000
2011-07-16,3734000,420000
2011-07-23,3741000,411000
2011-07-30,3676000,406000
2011-08-06,3709000,405000
2011-08-13,3717000,409000
2011-08-20,3715000,415000
2011-08-27,3723000,409000
2011-09-03,3759000,414000
2011-09-10,3758000,429000
2011-09-17,3747000,422000
2011-09-24,3707000,406000
2011-10-01,3697000,405000
2011-10-08,3731000,410000
2011-10-15,3704000,395000
2011-10-22,3699000,403000
2011-10-29,3677000,399000
2011-11-05,3603000,392000
2011-11-12,3676000,383000
2011-11-19,3739000,385000
2011-11-26,3592000,397000
2011-12-03,3595000,387000
2011-12-10,3543000,368000
2011-12-17,3588000,368000
2011-12-24,3575000,386000
2011-12-31,3566000,376000
2012-01-07,3421000,391000
2012-01-14,3511000,367000
2012-01-21,3419000,381000
2012-01-28,3454000,372000
2012-02-04,3391000,368000
2012-02-11,3362000,361000
2012-02-18,3382000,359000
2012-02-25,3392000,365000
2012-03-03,3367000,375000
2012-03-10,3353000,369000
2012-03-17,3342000,368000
2012-03-24,3336000,363000
2012-03-31,3286000,358000
2012-04-07,3325000,387000
2012-04-14,3355000,381000
2012-04-21,3316000,387000
2012-04-28,3296000,372000
2012-05-05,3326000,373000
2012-05-12,3334000,369000
2012-05-19,3301000,371000
2012-05-26,3351000,381000
2012-06-02,3327000,377000
2012-06-09,3343000,383000
2012-06-16,3323000,384000
2012-06-23,3325000,380000
2012-06-30,3304000,372000
2012-07-07,3314000,360000
2012-07-14,3307000,390000
2012-07-21,3290000,368000
2012-07-28,3312000,372000
2012-08-04,3302000,371000
2012-08-11,3296000,369000
2012-08-18,3306000,376000
2012-08-25,3321000,377000
2012-09-01,3327000,371000
2012-09-08,3312000,393000
2012-09-15,3316000,392000
2012-09-22,3308000,377000
2012-09-29,3309000,376000
2012-10-06,3295000,350000
2012-10-13,3302000,386000
2012-10-20,3285000,374000
2012-10-27,3223000,364000
2012-11-03,3368000,365000
2012-11-10,3364000,446000
2012-11-17,3325000,406000
2012-11-24,3248000,388000
2012-12-01,3195000,375000
2012-12-08,3229000,340000
2012-12-15,3179000,356000
2012-12-22,3221000,362000
2012-12-29,3127000,362000
2013-01-05,3147000,363000
2013-01-12,3108000,344000
2013-01-19,3138000,339000
2013-01-26,3138000,366000
2013-02-02,3075000,361000
2013-02-09,3081000,347000
2013-02-16,3036000,362000
2013-02-23,3043000,342000
2013-03-02,3011000,340000
2013-03-09,3024000,343000
2013-03-16,3028000,343000
2013-03-23,3046000,358000
2013-03-30,3080000,375000
2013-04-06,3076000,359000
2013-04-13,3024000,356000
2013-04-20,3027000,343000
2013-04-27,3039000,331000
2013-05-04,3042000,335000
2013-05-11,2975000,360000
2013-05-18,3020000,343000
2013-05-25,3012000,353000
2013-06-01,2999000,346000
2013-06-08,3004000,337000
2013-06-15,2996000,353000
2013-06-22,2962000,347000
2013-06-29,3003000,340000
2013-07-06,3113000,351000
2013-07-13,3011000,344000
2013-07-20,2947000,355000
2013-07-27,3010000,334000
2013-08-03,2944000,339000
2013-08-10,2987000,327000
2013-08-17,2968000,340000
2013-08-24,2934000,336000
2013-08-31,2839000,325000
2013-09-07,2822000,300000
2013-09-14,2863000,323000
2013-09-21,2954000,314000
2013-09-28,2944000,319000
2013-10-05,2929000,368000
2013-10-12,2925000,368000
2013-10-19,2933000,351000
2013-10-26,2927000,347000
2013-11-02,2873000,342000
2013-11-09,2925000,340000
2013-11-16,2837000,331000
2013-11-23,2813000,316000
2013-11-30,2808000,312000
2013-12-07,2892000,354000
2013-12-14,2903000,364000
2013-12-21,2832000,334000
2013-12-28,2807000,332000
2014-01-04,2903000,322000
2014-01-11,2907000,318000
2014-01-18,2847000,327000
2014-01-25,2850000,340000
2014-02-01,2852000,331000
2014-02-08,2859000,337000
2014-02-15,2861000,332000
2014-02-22,2823000,341000
2014-03-01,2787000,319000
2014-03-08,2816000,322000
2014-03-15,2764000,321000
2014-03-22,2800000,313000
2014-03-29,2729000,330000
2014-04-05,2730000,311000
2014-04-12,2680000,308000
2014-04-19,2767000,327000
2014-04-26,2707000,345000
2014-05-03,2702000,325000
2014-05-10,2691000,303000
2014-05-17,2657000,324000
2014-05-24,2646000,305000
2014-05-31,2641000,312000
2014-06-07,2598000,317000
2014-06-14,2595000,314000
2014-06-21,2583000,315000
2014-06-28,2579000,308000
2014-07-05,2540000,302000
2014-07-12,2528000,308000
2014-07-19,2542000,294000
2014-07-26,2524000,303000
2014-08-02,2530000,295000
2014-08-09,2508000,309000
2014-08-16,2517000,303000
2014-08-23,2483000,300000
2014-08-30,2486000,303000
2014-09-06,2452000,307000
2014-09-13,2465000,288000
2014-09-20,2447000,295000
2014-09-27,2427000,290000
2014-10-04,2441000,293000
2014-10-11,2409000,281000
2014-10-18,2437000,290000
2014-10-25,2406000,291000
2014-11-01,2436000,280000
2014-11-08,2384000,291000
2014-11-15,2351000,293000
2014-11-22,2389000,303000
2014-11-29,2484000,291000
2014-12-06,2381000,291000
2014-12-13,2379000,286000
2014-12-20,2338000,276000
2014-12-27,2422000,285000
2015-01-03,2381000,294000
2015-01-10,2400000,304000
2015-01-17,2336000,298000
2015-01-24,2335000,261000
2015-01-31,2297000,281000
2015-02-07,2344000,298000
2015-02-14,2319000,285000
2015-02-21,2341000,305000
2015-02-28,2357000,317000
2015-03-07,2361000,293000
2015-03-14,2361000,290000
2015-03-21,2306000,284000
2015-03-28,2278000,269000
2015-04-04,2273000,282000
2015-04-11,2320000,298000
2015-04-18,2279000,295000
2015-04-25,2254000,269000
2015-05-02,2261000,267000
2015-05-09,2253000,271000
2015-05-16,2258000,276000
2015-05-23,2236000,281000
2015-05-30,2294000,275000
2015-06-06,2250000,278000
2015-06-13,2268000,269000
2015-06-20,2265000,273000
2015-06-27,2312000,275000
2015-07-04,2233000,292000
2015-07-11,2226000,285000
2015-07-18,2267000,265000
2015-07-25,2253000,269000
2015-08-01,2257000,270000
2015-08-08,2247000,274000
2015-08-15,2256000,279000
2015-08-22,2252000,274000
2015-08-29,2258000,279000
2015-09-05,2243000,273000
2015-09-12,2255000,264000
2015-09-19,2234000,269000
2015-09-26,2240000,272000
2015-10-03,2207000,267000
2015-10-10,2214000,265000
2015-10-17,2194000,264000
2015-10-24,2218000,264000
2015-10-31,2205000,275000
2015-11-07,2209000,276000
2015-11-14,2185000,272000
2015-11-21,2181000,261000
2015-11-28,2259000,265000
2015-12-05,2242000,280000
2015-12-12,2190000,268000
2015-12-19,2176000,260000
2015-12-26,2207000,276000
2016-01-02,2218000,273000
2016-01-09,2190000,284000
2016-01-16,2221000,290000
2016-01-23,2199000,269000
2016-01-30,2210000,282000
2016-02-06,2213000,266000
2016-02-13,2206000,262000
2016-02-20,2203000,270000
2016-02-27,2180000,269000
2016-03-05,2203000,255000
2016-03-12,2163000,263000
2016-03-19,2138000,264000
2016-03-26,2165000,271000
2016-04-02,2151000,273000
2016-04-09,2139000,263000
2016-04-16,2135000,257000
2016-04-23,2137000,259000
2016-04-30,2183000,278000
2016-05-07,2185000,289000
2016-05-14,2177000,279000
2016-05-21,2186000,267000
2016-05-28,2131000,263000
2016-06-04,2170000,265000
2016-06-11,2158000,273000
2016-06-18,2160000,261000
2016-06-25,2139000,262000
2016-07-02,2131000,255000
2016-07-09,2125000,252000
2016-07-16,2140000,260000
2016-07-23,2134000,264000
2016-07-30,2143000,266000
2016-08-06,2157000,265000
2016-08-13,2137000,264000
2016-08-20,2148000,264000
2016-08-27,2138000,261000
2016-09-03,2149000,257000
2016-09-10,2110000,252000
2016-09-17,2098000,250000
2016-09-24,2081000,247000
2016-10-01,2080000,245000
2016-10-08,2081000,250000
2016-10-15,2069000,263000
2016-10-22,2066000,256000
2016-10-29,2067000,265000
2016-11-05,2046000,250000
2016-11-12,2045000,232000
2016-11-19,2050000,246000
2016-11-26,2038000,255000
2016-12-03,2029000,248000
2016-12-10,2030000,252000
2016-12-17,2078000,260000
2016-12-24,2077000,257000
2016-12-31,2028000,244000
2017-01-07,2080000,245000
2017-01-14,2099000,240000
2017-01-21,2067000,250000
2017-01-28,2078000,241000
2017-02-04,2064000,230000
2017-02-11,2076000,233000
2017-02-18,2034000,237000
2017-02-25,2065000,221000
2017-03-04,2020000,236000
2017-03-11,2002000,228000
2017-03-18,2021000,235000
2017-03-25,2027000,236000
2017-04-01,1990000,216000
2017-04-08,1968000,222000
2017-04-15,1961000,231000
2017-04-22,1962000,238000
2017-04-29,1896000,232000
2017-05-06,1892000,233000
2017-05-13,1902000,234000
2017-05-20,1900000,236000
2017-05-27,1891000,253000
2017-06-03,1909000,251000
2017-06-10,1914000,245000
2017-06-17,1915000,249000
2017-06-24,1929000,247000
2017-07-01,1911000,256000
2017-07-08,1942000,259000
2017-07-15,1929000,245000
2017-07-22,1928000,249000
2017-07-29,1926000,245000
2017-08-05,1928000,254000
2017-08-12,1926000,245000
2017-08-19,1928000,245000
2017-08-26,1912000,247000
2017-09-02,1911000,297000
2017-09-09,1939000,280000
2017-09-16,1872000,261000
2017-09-23,1871000,264000
2017-09-30,1871000,260000
2017-10-07,1869000,252000
2017-10-14,1902000,235000
2017-10-21,1913000,241000
2017-10-28,1927000,241000
2017-11-04,1939000,248000
2017-11-11,1944000,254000
2017-11-18,1974000,246000
2017-11-25,1997000,243000
2017-12-02,1953000,241000
2017-12-09,1984000,229000
2017-12-16,2006000,244000
2017-12-23,1979000,251000
2017-12-30,1933000,248000
2018-01-06,1971000,252000
2018-01-13,1972000,230000
2018-01-20,1990000,231000
2018-01-27,1985000,228000
2018-02-03,1996000,224000
2018-02-10,1959000,225000
2018-02-17,1985000,219000
2018-02-24,1957000,216000
2018-03-03,1960000,228000
2018-03-10,1948000,223000
2018-03-17,1959000,225000
2018-03-24,1917000,221000
2018-03-31,1943000,232000
2018-04-07,1949000,234000
2018-04-14,1900000,236000
2018-04-21,1827000,207000
2018-04-28,1834000,209000
2018-05-05,1765000,211000
2018-05-12,1769000,222000
2018-05-19,1751000,230000
2018-05-26,1737000,222000
2018-06-02,1690000,223000
2018-06-09,1693000,222000
2018-06-16,1671000,218000
2018-06-23,1671000,222000
2018-06-30,1672000,228000
2018-07-07,1676000,216000
2018-07-14,1659000,205000
2018-07-21,1624000,210000
2018-07-28,1657000,207000
2018-08-04,1624000,210000
2018-08-11,1625000,206000
2018-08-18,1605000,207000
2018-08-25,1602000,211000
2018-09-01,1575000,201000
2018-09-08,1538000,204000
2018-09-15,1544000,206000
2018-09-22,1545000,205000
2018-09-29,1553000,210000
2018-10-06,1565000,211000
2018-10-13,1588000,208000
2018-10-20,1603000,217000
2018-10-27,1615000,216000
2018-11-03,1642000,218000
2018-11-10,1665000,221000
2018-11-17,1749000,225000
2018-11-24,1684000,237000
2018-12-01,1694000,232000
2018-12-08,1745000,208000
2018-12-15,1756000,217000
2018-12-22,1770000,228000
2018-12-29,1783000,238000
2019-01-05,1766000,225000
2019-01-12,1780000,218000
2019-01-19,1813000,214000
2019-01-26,1759000,234000
2019-02-02,1806000,232000
2019-02-09,1778000,226000
2019-02-16,1826000,211000
2019-02-23,1796000,221000
2019-03-02,1807000,216000
2019-03-09,1792000,218000
2019-03-16,1800000,212000
2019-03-23,1760000,210000
2019-03-30,1742000,203000
2019-04-06,1680000,196000
2019-04-13,1664000,197000
2019-04-20,1659000,222000
2019-04-27,1663000,224000
2019-05-04,1627000,225000
2019-05-11,1635000,212000
2019-05-18,1621000,215000
2019-05-25,1629000,222000
2019-06-01,1631000,223000
2019-06-08,1608000,226000
2019-06-15,1634000,217000
2019-06-22,1625000,234000
2019-06-29,1657000,226000
2019-07-06,1633000,215000
2019-07-13,1634000,211000
2019-07-20,1623000,202000
2019-07-27,1634000,206000
2019-08-03,1656000,208000
2019-08-10,1618000,212000
2019-08-17,1629000,207000
2019-08-24,1604000,213000
2019-08-31,1591000,215000
2019-09-07,1596000,207000
2019-09-14,1567000,205000
2019-09-21,1561000,211000
2019-09-28,1600000,215000
2019-10-05,1602000,209000
2019-10-12,1611000,215000
2019-10-19,1628000,210000
2019-10-26,1633000,215000
2019-11-02,1646000,214000
2019-11-09,1668000,227000
2019-11-16,1702000,229000
2019-11-23,1702000,221000
2019-11-30,1708000,231000
2019-12-07,1728000,247000
2019-12-14,1753000,236000
2019-12-21,1754000,230000
2019-12-28,1843000,231000
2020-01-04,1827000,224000
2020-01-11,1804000,207000
2020-01-18,1774000,221000
2020-01-25,1796000,210000
2020-02-01,1755000,207000
2020-02-08,1782000,202000
2020-02-15,1760000,209000
2020-02-22,1783000,218000
2020-02-29,1771000,215000
2020-03-07,1753000,208000
2020-03-14,1844000,273000
2020-03-21,3238000,2914000
2020-03-28,8004000,5946000
2020-04-04,12396000,6137000
2020-04-11,16193000,4869000
2020-04-18,17789000,4201000
2020-04-25,21750000,3446000
2020-05-02,20939000,2796000
2020-05-09,23130000,2335000
2020-05-16,19153000,2176000
2020-05-23,19194000,1921000
2020-05-30,19216000,1639000
2020-06-06,18743000,1575000
2020-06-13,17860000,1473000
2020-06-20,17501000,1467000
2020-06-27,16610000,1446000
2020-07-04,17273000,1413000
2020-07-11,16251000,1468000
2020-07-18,16799000,1393000
2020-07-25,15929000,1260000
2020-08-01,15255000,1044000
2020-08-08,14184000,884000
2020-08-15,13910000,927000
2020-08-22,13217000,876000
2020-08-29,13501000,881000
2020-09-05,12765000,892000
2020-09-12,12684000,861000
2020-09-19,11367000,859000
2020-09-26,10481000,795000
2020-10-03,9270000,785000
2020-10-10,8425000,839000
2020-10-17,7777000,804000
2020-10-24,7180000,776000
2020-10-31,6705000,773000
2020-11-07,6341000,737000
2020-11-14,6088000,738000
2020-11-21,5580000,793000
2020-11-28,5784000,737000
2020-12-05,5609000,873000
2020-12-12,5416000,886000
2020-12-19,5332000,815000
2020-12-26,5181000,773000
2021-01-02,5330000,803000
2021-01-09,5069000,890000
2021-01-16,4877000,844000
2021-01-23,4789000,799000
2021-01-30,4658000,803000
2021-02-06,4599000,812000
2021-02-13,4495000,802000
2021-02-20,4406000,702000
2021-02-27,4227000,704000
2021-03-06,4185000,693000
2021-03-13,3970000,699000
2021-03-20,3887000,627000
2021-03-27,3859000,658000
2021-04-03,3830000,645000
2021-04-10,3779000,571000
2021-04-17,3776000,566000
2021-04-24,3767000,574000
2021-05-01,3756000,517000
2021-05-08,3737000,494000
2021-05-15,3618000,467000
2021-05-22,3575000,441000
2021-05-29,3422000,427000
2021-06-05,3350000,420000
2021-06-12,3268000,428000
2021-06-19,3263000,422000
2021-06-26,3316000,369000
2021-07-03,3182000,371000
2021-07-10,3069000,332000
2021-07-17,3142000,387000
2021-07-24,2868000,380000
2021-07-31,2793000,380000
2021-08-07,2815000,361000
2021-08-14,2805000,368000
2021-08-21,2736000,358000
2021-08-28,2789000,353000
2021-09-04,2611000,337000
2021-09-11,2756000,344000
2021-09-18,2803000,367000
2021-09-25,2722000,374000
2021-10-02,2624000,314000
2021-10-09,2536000,290000
2021-10-16,2268000,290000
2021-10-23,2173000,268000
2021-10-30,2199000,262000
2021-11-06,2041000,251000
2021-11-13,1970000,250000
2021-11-20,1807000,223000
2021-11-27,1876000,222000
2021-12-04,1767000,207000
2021-12-11,1769000,227000
2021-12-18,1625000,215000
2021-12-25,1705000,216000
2022-01-01,1690000,227000
2022-01-08,1721000,247000
2022-01-15,1697000,245000
2022-01-22,1706000,238000
2022-01-29,1692000,231000
2022-02-05,1667000,210000
2022-02-12,1634000,234000
2022-02-19,1614000,225000
2022-02-26,1610000,209000
2022-03-05,1581000,222000
2022-03-12,1538000,217000
2022-03-19,1518000,207000
2022-03-26,1528000,214000
2022-04-02,1491000,215000
2022-04-09,1426000,213000
2022-04-16,1428000,209000
2022-04-23,1422000,210000
2022-04-30,1380000,219000
2022-05-07,1367000,204000
2022-05-14,1374000,225000
2022-05-21,1360000,211000
2022-05-28,1364000,200000
2022-06-04,1349000,214000
2022-06-11,1359000,213000
2022-06-18,1362000,215000
2022-06-25,1403000,212000
2022-07-02,1363000,215000
2022-07-09,1371000,212000
2022-07-16,1392000,216000
2022-07-23,1420000,220000
2022-07-30,1429000,228000
2022-08-06,1424000,221000
2022-08-13,1411000,220000
2022-08-20,1421000,215000
2022-08-27,1420000,210000
2022-09-03,1397000,204000
2022-09-10,1402000,197000
2022-09-17,1382000,201000
2022-09-24,1397000,189000
2022-10-01,1392000,204000
2022-10-08,1406000,206000
2022-10-15,1405000,199000
2022-10-22,1432000,201000
2022-10-29,1430000,202000
2022-11-05,1409000,204000
2022-11-12,1452000,210000
2022-11-19,1465000,220000
2022-11-26,1513000,209000
2022-12-03,1537000,209000
2022-12-10,1553000,210000
2022-12-17,1557000,213000
2022-12-24,1596000,204000
2022-12-31,1585000,204000
2023-01-07,1584000,208000
2023-01-14,1601000,203000
2023-01-21,1597000,203000
2023-01-28,1628000,200000
2023-02-04,1637000,215000
2023-02-11,1643000,219000
2023-02-18,1634000,217000
2023-02-25,1661000,209000
2023-03-04,1658000,229000
2023-03-11,1674000,222000
2023-03-18,1690000,230000
2023-03-25,1701000,234000
2023-04-01,1691000,217000
2023-04-08,1735000,219000
2023-04-15,1724000,223000
2023-04-22,1708000,210000
2023-04-29,1710000,214000
2023-05-06,1715000,223000
2023-05-13,1714000,225000
2023-05-20,1739000,227000
2023-05-27,1729000,230000
2023-06-03,1755000,253000
2023-06-10,1764000,258000
2023-06-17,1759000,260000
2023-06-24,1775000,236000
2023-07-01,1778000,248000
2023-07-08,1793000,229000
2023-07-15,1772000,228000
2023-07-22,1781000,231000
2023-07-29,1778000,238000
2023-08-05,1807000,258000
2023-08-12,1801000,248000
2023-08-19,1821000,240000
2023-08-26,1806000,234000
2023-09-02,1812000,227000
2023-09-09,1799000,227000
2023-09-16,1799000,210000
2023-09-23,1793000,215000
2023-09-30,1798000,216000
2023-10-07,1808000,210000
2023-10-14,1806000,200000
2023-10-21,1816000,214000
2023-10-28,1821000,217000
2023-11-04,1805000,216000
2023-11-11,1789000,229000
2023-11-18,1807000,213000
2023-11-25,1814000,214000
2023-12-02,1813000,216000
2023-12-09,1801000,204000
2023-12-16,1801000,209000
2023-12-23,1813000,210000
2023-12-30,1752000,198000
2024-01-06,1723000,199000
2024-01-13,1752000,193000
2024-01-20,1824000,223000
2024-01-27,1802000,225000
2024-02-03,1797000,214000
2024-02-10,1781000,212000
2024-02-17,1797000,203000
2024-02-24,1790000,214000
2024-03-02,1795000,212000
2024-03-09,1790000,213000
2024-03-16,1802000,213000
2024-03-23,1788000,214000
2024-03-30,1804000,223000
2024-04-06,1793000,212000
2024-04-13,1776000,211000
2024-04-20,1771000,209000
2024-04-27,1786000,209000
2024-05-04,1790000,229000
2024-05-11,1793000,222000
2024-05-18,1798000,216000
2024-05-25,1810000,221000
2024-06-01,1825000,229000
2024-06-08,1832000,241000
2024-06-15,1844000,237000
2024-06-22,1864000,233000
2024-06-29,1856000,238000
2024-07-06,1866000,222000
2024-07-13,1853000,240000
2024-07-20,1874000,236000
2024-07-27,1876000,248000
2024-08-03,1863000,234000
2024-08-10,1859000,228000
2024-08-17,1864000,232000
2024-08-24,1849000,232000
2024-08-31,1845000,228000
2024-09-07,1827000,230000
2024-09-14,1831000,222000
2024-09-21,1825000,221000
2024-09-28,1858000,227000
2024-10-05,1869000,259000
2024-10-12,1884000,240000
2024-10-19,1855000,228000
2024-10-26,1880000,218000
2024-11-02,1872000,221000
2024-11-09,1892000,219000
2024-11-16,1892000,216000
2024-11-23,1871000,216000
2024-11-30,1873000,225000
2024-12-07,1862000,239000
2024-12-14,1882000,222000
2024-12-21,1828000,219000
2024-12-28,1871000,209000
2025-01-04,1850000,205000
2025-01-11,1888000,217000
2025-01-18,1849000,222000
2025-01-25,1874000,210000
2025-02-01,1839000,222000
2025-02-08,1861000,215000
2025-02-15,1847000,224000
2025-02-22,1892000,243000
2025-03-01,1851000,224000
2025-03-08,1881000,223000
2025-03-15,1847000,225000
2025-03-22,1893000,225000
2025-03-29,1844000,219000
2025-04-05,1878000,224000
2025-04-12,1833000,216000
2025-04-19,1908000,223000
2025-04-26,1872000,241000
2025-05-03,1877000,229000
2025-05-10,1893000,228000
2025-05-17,1907000,226000
2025-05-24,1902000,239000
2025-05-31,1951000,248000
2025-06-07,1937000,250000
2025-06-14,1964000,246000
2025-06-21,1956000,237000
2025-06-28,1954000,232000
2025-07-05,1951000,228000
2025-07-12,1946000,221000
2025-07-19,1936000,217000
2025-07-26,1968000,219000
2025-08-02,1942000,227000
2025-08-09,1961000,224000
2025-08-16,1944000,234000
2025-08-23,1939000,229000
2025-08-30,1927000,236000
2025-09-06,1928000,264000
2025-09-13,1916000,232000
2025-09-20,1921000,219000
2025-09-27,1929000,224000
2025-10-04,1928000,235000
2025-10-11,1947000,220000
2025-10-18,1957000,232000
2025-10-25,1964000,220000
2025-11-01,1946000,229000
2025-11-08,1953000,228000
2025-11-15,1944000,222000
2025-11-22,1937000,217000
2025-11-29,1830000,192000
2025-12-06,1885000,237000
2025-12-13,1914000,224000
2025-12-20,1856000,215000
2025-12-27,1903000,200000
2026-01-03,1875000,207000
2026-01-10,1849000,199000
2026-01-17,,200000