Date,Asset,Type,Predisposition
03/14/25,AAPL,Equities,Long
03/14/25,ARKK,ETF,Long
03/14/25,EUR_USD,Currencies,Long
03/14/25,GBP_USD,Currencies,Long
03/14/25,MSFT,Equities,Long
03/14/25,NVDA,Equities,Long
03/14/25,ORCL,Equities,Long
03/14/25,PLAT,Commodities,Long
03/14/25,SILV,Commodities,Long
03/14/25,V,Equities,Long
03/14/25,XLC,ETF,Long
03/14/25,AUD_USD,Currencies,Short
03/14/25,BA,Equities,Short
03/14/25,COPPER,Commodities,Short
03/14/25,EUR_JPY,Currencies,Short
03/14/25,GOLD,Commodities,Short
03/14/25,KO,Equities,Short
03/14/25,LIN,Equities,Short
03/14/25,PFE,Equities,Short
03/14/25,QQQ,ETF,Short
03/14/25,WMT,Equities,Short
03/14/25,XLE,ETF,Short